Country Code,Year,GDP,YoY Growth %
ABW,1960,,
ABW,1961,,
ABW,1962,,
ABW,1963,,
ABW,1964,,
ABW,1965,,
ABW,1966,,
ABW,1967,,
ABW,1968,,
ABW,1969,,
ABW,1970,,
ABW,1971,,
ABW,1972,,
ABW,1973,,
ABW,1974,,
ABW,1975,,
ABW,1976,,
ABW,1977,,
ABW,1978,,
ABW,1979,,
ABW,1980,,
ABW,1981,,
ABW,1982,,
ABW,1983,,
ABW,1984,,
ABW,1985,,
ABW,1986,405586592.178771,
ABW,1987,487709497.206704,20.24793388429753
ABW,1988,596648044.692737,22.33676975945005
ABW,1989,695530726.256983,16.573033707865225
ABW,1990,764804469.273743,9.959839357429745
ABW,1991,872067039.106145,14.024835646457245
ABW,1992,958659217.877095,9.929532351057047
ABW,1993,1083240223.46369,12.995337995338296
ABW,1994,1245810055.86592,15.007735946363642
ABW,1995,1320670391.06145,6.008968609865417
ABW,1996,1379888268.15642,4.4839255499152575
ABW,1997,1531843575.41899,11.012145748987901
ABW,1998,1665363128.49162,8.716265499635622
ABW,1999,1722905027.93296,3.455216370345471
ABW,2000,1873452513.96648,8.738002594033745
ABW,2001,1896456983.24022,1.227918460822619
ABW,2002,1961843575.41899,3.4478289123675454
ABW,2003,2044111731.84358,4.193410598855718
ABW,2004,2254830726.25698,10.308584953101029
ABW,2005,2360017318.43575,4.664944066705168
ABW,2006,2469782681.56425,4.651040578009558
ABW,2007,2677641340.78212,8.416070805315634
ABW,2008,2843024581.00559,6.176452301679891
ABW,2009,2553793296.08939,-10.173365606775652
ABW,2010,2453597206.70391,-3.923422053731196
ABW,2011,2637859217.87709,7.509872063341327
ABW,2012,2615208379.88827,-0.8586825951632515
ABW,2013,2727849720.67039,4.307165029309545
ABW,2014,2790849720.67039,2.3095113899646025
ABW,2015,2962907262.56983,6.165059358986547
ABW,2016,2983635195.53073,0.6995808887694244
ABW,2017,3092429050.27933,3.646352439854761
ABW,2018,3276184357.5419,5.942102608497102
ABW,2019,3395798882.68156,3.651031568608243
ABW,2020,2558906303.88098,-24.644939459421433
ABW,2021,3103184101.51354,21.269938520495167
ABW,2022,3544707788.05664,14.228085479290531
AFE,1960,18478095142.1781,
AFE,1961,19366314294.0882,4.80687616919262
AFE,1962,20506467177.8699,5.887299289208303
AFE,1963,22242734491.041,8.46692557089912
AFE,1964,24294329779.9037,9.223664876677141
AFE,1965,26619560806.5041,9.571085301245198
AFE,1966,28732792825.1557,7.938643443490867
AFE,1967,31592963095.0751,9.954376128084942
AFE,1968,34216506003.7724,8.304200213199596
AFE,1969,38498685902.3199,12.51495374213658
AFE,1970,41938907715.5921,8.93594607878525
AFE,1971,45920167032.339,9.492997156115091
AFE,1972,49440744172.3381,7.666734176989709
AFE,1973,64933825429.4262,31.336666784551404
AFE,1974,79888146173.0089,23.03009355245196
AFE,1975,84955085378.7871,6.342541977135174
AFE,1976,85050300129.2175,0.11207657552914085
AFE,1977,94566922081.6133,11.189404314784458
AFE,1978,105623414443.521,11.691712195481752
AFE,1979,125656371097.882,18.966397516975775
AFE,1980,166475050971.984,32.484369489156784
AFE,1981,173673510912.351,4.32404729617919
AFE,1982,164114068718.601,-5.504260346630774
AFE,1983,175108664048.273,6.6993618618547135
AFE,1984,162752141155.352,-7.056488586718157
AFE,1985,135795509169.566,-16.562996833359655
AFE,1986,153368683414.31,12.940909719481674
AFE,1987,186594742538.673,21.664174448577732
AFE,1988,205635932770.809,10.204569524883356
AFE,1989,218577418670.295,6.293397134006695
AFE,1990,254673510115.591,16.514099061506336
AFE,1991,275622021261.09,8.22563412111097
AFE,1992,240210577721.912,-12.847828115168502
AFE,1993,238353057845.691,-0.7732881265417824
AFE,1994,241158029890.41,1.1768139540860867
AFE,1995,270813961389.262,12.297302110291985
AFE,1996,268992901985.369,-0.6724392621972108
AFE,1997,284065411886.655,5.603311384813359
AFE,1998,267286689939.3,-5.906640247370176
AFE,1999,263674195227.713,-1.3515430612752732
AFE,2000,285403765401.254,8.241068169289377
AFE,2001,260218617002.669,-8.824392475402975
AFE,2002,267142068310.105,2.6606287387058725
AFE,2003,354907412306.554,32.85343433613341
AFE,2004,441359590323.394,24.35907930324268
AFE,2005,514927086452.789,16.66838055461546
AFE,2006,578633287253.354,12.371887685967732
AFE,2007,664099392606.403,14.770340254487934
AFE,2008,711800460143.432,7.182820533808321
AFE,2009,723512528253.909,1.6454145180121227
AFE,2010,867040920627.224,19.8377203943793
AFE,2011,971667511047.106,12.067087945998466
AFE,2012,979996860991.406,0.8572222339022106
AFE,2013,986342932619.106,0.6475604035384386
AFE,2014,1006992481353.94,2.093546580194161
AFE,2015,932513471557.123,-7.396183305825388
AFE,2016,890051427265.996,-4.553504650203433
AFE,2017,1028394291260.59,15.543243879687596
AFE,2018,1012521425296.35,-1.5434611120588082
AFE,2019,1006191000190.48,-0.6252139409313906
AFE,2020,928880235176.594,-7.683507902500663
AFE,2021,1086530704900.5,16.97209863593818
AFE,2022,1185137703650.99,9.075399186212607
AFG,1960,537777811.111111,
AFG,1961,548888895.555556,2.066110615737049
AFG,1962,546666677.777778,-0.40485748496128515
AFG,1963,751111191.111111,37.39838582523598
AFG,1964,800000044.444444,6.50887031266465
AFG,1965,1006666637.77778,25.833322731482443
AFG,1966,1399999966.66667,39.072848361914005
